system_id,comp1,comp2,T_K,x1,y1,P_kPa,Psat1_kPa,Psat2_kPa,source,data_type
1,ethanol,cyclohexane,298.15,0.0,0.0,13.0439,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.02,0.4298,22.4731,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.04,0.5481,27.9755,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.06,0.5962,31.0128,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.08,0.6171,32.5065,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.1,0.6243,33.0428,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.15,0.6138,32.3405,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.2,0.5843,30.7028,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.25,0.5465,29.1394,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.3,0.5053,27.9557,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.35,0.4634,27.217,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.4,0.4224,26.9114,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.45,0.3834,27.0081,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.5,0.3471,27.4759,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.55,0.314,28.2864,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
1,ethanol,cyclohexane,298.15,0.6,0.2844,29.409,7.9237,13.0439,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
